"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Jrue Holiday","POR","PG,SG","13.2","4.7","4.7","0.5","1.1",".449",".873","1.8","72","32.0","2.0"
"Kelly Oubre Jr.","PHI","PF,SF,SG","13.1","4.6","1.3","0.4","1.2",".456",".756","1.2","73","28.9","1.1"
"Keyonte George","UTH","PG,SG","13.1","3.0","4.4","0.1","0.5",".391",".826","2.0","75","27.2","2.3"
"Gary Trent Jr.","MIL","SF,SG","13.0","2.5","1.4","0.1","1.1",".440",".826","2.4","75","28.8","0.7"
"Tre Johnson","WAS","SG","12.9","1.9","1.7","0.3","0.9",".431",".817","1.3","75","24.4","1.6"
"Jonathan Kuminga","GSW","PF,SF","12.9","4.0","1.9","0.5","0.8",".486",".694","0.8","73","22.2","1.3"
"Scoot Henderson","POR","PG OUT","12.8","2.9","5.0","0.2","0.9",".406",".784","1.6","74","26.4","2.8"
"Jakob Poeltl","TOR","C DTD","12.7","9.1","2.6","1.3","1.0",".625",".632","0.0","75","28.1","1.8"
"Ace Bailey","UTH","PF,SF","12.7","4.3","1.7","0.5","0.8",".465",".742","0.8","76","27.0","1.7"
"Dennis Schroder","SAC","PG,SG","12.7","2.7","5.1","0.2","0.8",".422",".840","1.6","76","29.2","1.8"
"Buddy Hield","GSW","SG,SF","12.7","3.7","2.2","0.3","1.0",".423",".838","2.9","80","25.3","1.3"
"Keegan Murray","SAC","SF,PF","12.6","5.8","1.4","0.8","0.8",".449",".818","2.1","77","33.2","0.8"
"Tari Eason","HOU","SF,PF","12.6","6.9","1.4","0.8","1.7",".486",".747","1.2","72","26.6","1.3"
"Jaden McDaniels","MIN","SF,PF","12.5","5.0","2.0","0.9","1.2",".487",".781","1.4","79","32.4","1.3"
"Dylan Harper","SAS","PG,SG","12.4","2.6","3.6","0.4","1.0",".458",".818","0.8","74","24.6","1.8"
"Jalen Duren","DET","C","12.4","11.0","2.4","1.1","0.7",".672",".693","0.0","77","28.4","1.9"
"Rudy Gobert","MIN","C","12.4","11.4","1.6","1.6","0.7",".658",".656","0.0","76","32.1","1.4"
"Rui Hachimura","LAL","SF,PF","12.3","4.4","1.2","0.4","0.6",".517",".760","1.4","69","28.5","0.8"
"T.J. McConnell","IND","PG","12.2","3.4","6.7","0.3","1.4",".530",".780","0.3","75","23.8","2.0"
"Quentin Grimes","PHI","SG,SF DTD","12.2","3.4","2.5","0.3","0.9",".457",".765","2.0","75","27.0","1.4"
