,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T427,Nicolas Batum,LAC,F,78,17.4,4.0,2.8,1.1,0.7,0.5,1.1,43.7,81.0,0.4,2.6,43.3,1.3,3.1,0.2,0.3,0.0,0.0,1.4,11.9
T427,Malachi Flynn,FA,G,4,11.0,4.0,1.8,1.8,0.8,0.0,0.3,38.5,83.3,1.0,1.0,25.0,1.3,3.3,1.3,1.5,0.0,0.0,1.0,10.0
T432,Kyle Lowry,PHI,G,35,18.9,3.9,1.9,2.7,0.9,0.3,0.8,35.0,81.8,0.6,2.5,33.0,1.2,3.3,0.8,0.9,0.0,0.0,1.8,13.5
T432,Steven Adams,HOU,C,57,13.9,3.9,5.7,1.2,0.4,0.5,0.0,54.5,46.2,0.9,0.0,0.0,1.6,2.9,0.8,1.6,0.1,0.0,1.1,14.3
T432,Olivier-Maxence Prosper,MEM,F,52,11.2,3.9,2.4,0.8,0.5,0.1,0.2,40.2,64.5,0.3,1.0,23.5,1.3,3.3,0.9,1.5,0.0,0.0,0.5,9.5
T435,Ousmane Dieng,OKC,F,37,10.9,3.8,2.2,0.8,0.5,0.2,0.6,43.2,68.8,0.5,1.9,32.4,1.5,3.4,0.3,0.4,0.0,0.0,0.9,9.2
T435,Devin Carter,SAC,G,36,11.0,3.8,2.1,1.1,0.6,0.1,0.5,37.0,59.1,0.5,1.7,29.5,1.3,3.5,0.7,1.2,0.0,0.0,1.1,9.7
T435,Branden Carlson,OKC,C,32,7.7,3.8,1.7,0.4,0.2,0.7,0.7,44.3,77.8,0.2,2.1,33.3,1.3,3.0,0.4,0.6,0.0,0.0,0.7,8.7
T435,Patty Mills,FA,G,29,11.1,3.8,0.8,0.9,0.4,0.1,0.9,37.5,92.9,0.6,2.6,34.7,1.2,3.3,0.4,0.5,0.0,0.0,0.8,7.2
T439,DeAndre Jordan,FA,C,56,12.3,3.7,5.1,0.9,0.3,0.5,0.0,65.0,42.2,0.7,0.0,0.0,1.6,2.5,0.5,1.1,0.1,0.0,1.3,12.8
