,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
122,Donte DiVincenzo,MIN,62,1605,723,228,225,73,17,174,42.2,77.8,-0.36,-0.96,-0.90,-0.25,0.08,-0.82,0.75,-0.71,-0.11
123,Dillon Brooks,HOU,75,2386,1053,275,128,60,16,186,42.9,81.8,-0.36,-0.13,-0.63,-0.91,-0.42,-0.85,0.92,-0.98,0.10
124,Alex Sarr,WAS,67,1816,869,435,161,44,101,105,39.4,67.9,-0.37,-0.59,0.27,-0.69,-1.03,1.78,-0.21,-1.53,-0.93
125,Mike Conley,MIN,71,1756,582,182,319,79,14,127,40.0,90.0,-0.37,-1.31,-1.16,0.39,0.32,-0.91,0.09,-0.76,0.40
126,Stephon Castle,SAS,81,2160,1190,297,332,74,22,95,42.8,72.4,-0.37,0.21,-0.51,0.48,0.12,-0.66,-0.35,-1.12,-1.12
127,Taurean Prince,MIL,80,2169,656,287,155,76,15,147,45.7,81.3,-0.37,-1.12,-0.57,-0.73,0.20,-0.88,0.38,-0.21,-0.02
128,Daniel Gafford,DAL,57,1230,701,388,80,23,102,0,70.2,68.9,-0.37,-1.01,0.00,-1.24,-1.84,1.81,-1.69,1.99,-0.99
129,Obi Toppin,IND,79,1545,833,318,128,46,28,110,52.9,78.1,-0.37,-0.68,-0.39,-0.91,-0.95,-0.48,-0.14,0.67,-0.11
130,Bradley Beal,PHX,53,1697,902,177,195,58,28,102,49.7,80.3,-0.38,-0.51,-1.19,-0.45,-0.49,-0.48,-0.26,0.28,0.02
131,Guerschon Yabusele,PHI,70,1893,768,395,148,58,24,104,50.1,72.5,-0.39,-0.84,0.04,-0.77,-0.49,-0.60,-0.23,0.29,-0.49
132,Anthony Black,ORL,78,1882,736,230,240,86,48,62,42.3,76.1,-0.39,-0.92,-0.89,-0.15,0.58,0.14,-0.82,-0.73,-0.32
133,Yves Missi,NOP,73,1959,665,601,99,37,98,0,54.7,62.3,-0.40,-1.10,1.21,-1.11,-1.30,1.68,-1.69,0.76,-1.67
134,Nickeil Alexander-Walker,MIN,82,2073,773,265,223,50,34,141,43.8,78.0,-0.40,-0.83,-0.69,-0.26,-0.80,-0.29,0.29,-0.52,-0.12
135,Brandin Podziemski,GSW,64,1718,747,325,220,69,13,115,44.5,75.8,-0.41,-0.90,-0.35,-0.28,-0.07,-0.94,-0.07,-0.44,-0.21
136,CJ McCollum,NOP,57,1832,1183,212,227,46,24,171,44.4,71.7,-0.41,0.20,-0.99,-0.24,-0.95,-0.60,0.71,-0.79,-0.66
