,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
123,Alex Caruso,OKC,12,20.0,8.9,3.8,2.7,1.5,0.7,1.0,46.8,82.1,-0.30,-1.41,-0.75,-0.58,1.01,0.09,-0.75,-0.14,0.14
124,Ochai Agbaji,TOR,10,28.3,12.8,4.4,1.7,1.3,0.2,2.0,47.2,100.0,-0.30,-0.72,-0.53,-1.02,0.57,-0.84,0.20,-0.26,0.20
125,Matisse Thybulle,POR,15,20.7,7.5,3.5,1.9,2.2,0.6,1.4,47.7,46.7,-0.31,-1.67,-0.90,-0.94,2.54,-0.04,-0.37,-0.05,-1.04
126,Keon Johnson,BKN,15,27.0,14.1,4.2,3.2,1.1,0.3,2.3,44.4,75.8,-0.31,-0.48,-0.61,-0.34,0.06,-0.71,0.51,-0.65,-0.27
127,DeMar DeRozan,SAC,16,36.2,22.4,3.5,5.8,0.3,0.6,1.1,43.8,79.2,-0.31,0.98,-0.88,0.84,-1.59,-0.12,-0.63,-1.28,0.18
128,Tristan Vukcevic,WAS,14,21.6,14.4,5.0,1.5,0.4,1.1,1.6,51.0,77.5,-0.32,-0.43,-0.30,-1.11,-1.49,0.90,-0.14,0.21,-0.16
129,Dillon Brooks,HOU,12,30.3,15.2,2.8,1.8,0.9,0.3,2.7,48.2,87.5,-0.32,-0.30,-1.18,-0.96,-0.27,-0.74,0.83,-0.16,0.20
130,Fred VanVleet,HOU,12,35.7,13.8,2.7,5.0,1.2,0.4,2.8,35.4,77.1,-0.32,-0.55,-1.21,0.47,0.28,-0.41,0.99,-1.99,-0.19
131,Donte DiVincenzo,MIN,13,23.4,11.8,3.3,3.2,1.0,0.4,2.8,44.1,71.4,-0.33,-0.89,-0.96,-0.36,-0.08,-0.47,1.00,-0.58,-0.27
132,Kelly Olynyk,NOP/TOR,11,25.5,11.0,4.7,3.7,1.1,0.5,0.6,53.1,75.7,-0.33,-1.04,-0.41,-0.10,0.11,-0.15,-1.10,0.36,-0.32
133,Aaron Wiggins,OKC,10,25.7,16.0,4.4,2.6,0.8,0.1,2.1,46.8,84.0,-0.33,-0.15,-0.53,-0.61,-0.52,-1.04,0.29,-0.39,0.30
134,Keyonte George,UTA,14,31.6,16.6,3.7,4.6,0.6,0.0,2.4,37.9,90.0,-0.34,-0.05,-0.80,0.28,-1.02,-1.24,0.60,-1.82,1.36
135,Isaiah Joe,OKC,15,25.7,13.6,3.2,2.1,0.6,0.0,3.5,48.2,93.8,-0.35,-0.58,-1.00,-0.85,-0.96,-1.24,1.66,-0.10,0.31
136,Dorian Finney-Smith,BKN/LAL,15,30.9,10.4,3.8,1.9,0.9,0.5,2.8,47.7,66.7,-0.35,-1.15,-0.77,-0.94,-0.23,-0.17,0.96,-0.09,-0.42
137,Keldon Johnson,SAS,15,25.1,13.5,5.9,2.1,0.9,0.6,1.0,47.0,80.6,-0.35,-0.60,0.06,-0.85,-0.38,-0.04,-0.75,-0.30,0.04
138,Jaylen Brown,BOS,8,26.1,16.4,4.3,3.1,0.4,0.3,1.8,50.5,82.1,-0.35,-0.09,-0.59,-0.38,-1.45,-0.74,-0.04,0.15,0.30
139,Brandon Williams,DAL,8,21.1,12.3,2.5,3.3,1.3,0.4,0.6,51.5,83.3,-0.36,-0.82,-1.27,-0.32,0.46,-0.49,-1.11,0.24,0.46
140,Anfernee Simons,POR,7,32.0,18.7,2.1,4.4,0.9,0.0,3.0,39.0,85.7,-0.36,0.33,-1.41,0.21,-0.40,-1.24,1.15,-2.08,0.54
141,Lonnie Walker,PHI,10,28.6,16.5,3.0,3.1,0.6,0.2,2.9,46.2,77.8,-0.37,-0.06,-1.08,-0.39,-0.96,-0.84,1.05,-0.50,-0.15
142,Naji Marshall,DAL,14,33.4,16.1,5.4,3.8,0.8,0.2,0.6,54.1,70.5,-0.37,-0.13,-0.16,-0.08,-0.55,-0.81,-1.09,0.65,-0.77
143,Wendell Carter,ORL,13,26.2,10.2,7.0,1.2,0.8,1.0,0.9,48.1,73.1,-0.37,-1.18,0.48,-1.27,-0.42,0.75,-0.83,-0.08,-0.41
